Months,Average of Max temp,Average of mean,Average of Min,Average of Vapour Pressure,Average of wind speed,Average of precitation,Average of shortwave radiation,Average of Mean Dew point,Cloud Amount,CO2,PM2.5,Mean Sea level Bay ofBengal,Mean sea level Arabian sea,Mea sea level Indian ocean,SPI_3,SPI_6,SPI_12,SPEI_3,SPEI_6,SPEI_12,DroughtBinary,Year,ClassLabel
5,2,2,2,1,2,3,1,1,4,0,0,1,0,3,4,4,4,4,4,4,1,2020,Flood
4,3,2,2,1,1,4,0,1,4,0,0,0,0,3,4,4,4,4,4,4,1,2020,Flood
8,0,1,1,1,2,4,0,1,4,0,0,0,3,3,4,4,4,0,4,4,1,2020,Flood
0,3,3,3,0,2,2,0,0,1,0,0,0,3,3,4,4,4,4,4,4,1,2020,Flood
10,3,3,3,3,2,2,0,3,0,0,0,0,3,3,6,3,4,4,4,4,1,2020,Flood
7,0,0,3,3,0,1,1,3,0,0,0,0,3,3,0,3,4,4,4,4,1,2020,Flood
6,3,1,0,3,1,0,1,3,3,0,0,0,3,3,0,4,4,4,4,4,1,2020,Flood
1,3,1,0,3,1,1,1,3,3,0,0,3,0,3,2,4,4,4,4,4,1,2020,Flood
14,2,1,3,3,1,0,1,3,3,0,0,1,0,0,0,4,4,4,4,4,1,2020,Flood
13,3,1,1,0,2,1,1,3,0,0,0,1,1,1,4,4,4,4,4,4,1,2020,Flood
12,2,2,1,0,1,0,2,3,0,0,0,1,0,0,4,4,4,4,4,4,1,2020,Flood
3,4,5,2,3,1,0,2,3,0,0,4,1,2,4,4,4,4,4,4,4,1,2020,Flood
15,5,6,6,4,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,7,2,2021,Normal
11,5,4,4,4,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,7,2,2021,Normal
9,5,6,6,4,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,7,2,2021,Normal
2,5,6,6,4,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,7,2,2021,Normal
